   27   27    2
 Ca_01  3  20    0.000000    0.000000    0.000000
  O_02  1   8    0.000000   -4.544792    0.000000
 Ca_03  2  20    0.000000    4.544792    4.544792
  O_04  1   8   -4.544792    4.544792    4.544792
  O_02  1   8   -4.544792    0.000000    0.000000
  O_02  1   8    0.000000    0.000000    4.544792
  O_02  1   8    4.544792    0.000000    0.000000
  O_02  1   8    0.000000    0.000000   -4.544792
  O_02  1   8    0.000000    4.544792    0.000000
 Ca_03  2  20    4.544792    0.000000   -4.544792
 Ca_03  2  20    4.544792    4.544792    0.000000
 Ca_03  2  20   -4.544792   -4.544792    0.000000
 Ca_03  2  20   -4.544792    0.000000   -4.544792
 Ca_03  2  20    4.544792    0.000000    4.544792
 Ca_03  2  20    4.544792   -4.544792    0.000000
 Ca_03  2  20    0.000000   -4.544792    4.544792
 Ca_03  2  20   -4.544792    0.000000    4.544792
 Ca_03  2  20   -4.544792    4.544792    0.000000
 Ca_03  2  20    0.000000    4.544792   -4.544792
 Ca_03  2  20    0.000000   -4.544792   -4.544792
  O_04  1   8    4.544792   -4.544792   -4.544792
  O_04  1   8   -4.544792   -4.544792    4.544792
  O_04  1   8    4.544792    4.544792   -4.544792
  O_04  1   8    4.544792    4.544792    4.544792
  O_04  1   8   -4.544792   -4.544792   -4.544792
  O_04  1   8   -4.544792    4.544792   -4.544792
  O_04  1   8    4.544792   -4.544792    4.544792
